L,N,J,V,W,ts,holes,vdimers,hdimers,representator,instance,unconstrained,energy,avrgtimeavrgcorr,stdtimeavrgcorr,avrgcorr,stdcorr,periodicity,filling
12,9,1,1,0.0,0.060157709126835844,0,1,1,101111111100,3,false,5.0,0.9941613980858737,3.9444457252754556e-16,0.9920086546388417,4.006390348665245e-16,12.0,0.75
12,9,1,1,0.0,0.060157709126835844,0,1,1,101111111100,3,true,5.0,0.9906566527261617,7.051768502326436e-16,0.9872109104771061,8.005326959389495e-16,12.0,0.75
12,9,1,4,0.0,0.060157709126835844,0,1,1,101111111100,3,false,5.0,0.9941832761962844,2.749871174334192e-16,0.992049036904858,2.391879560887345e-16,12.0,0.75
12,9,1,4,0.0,0.060157709126835844,0,1,1,101111111100,3,true,5.0,0.9907437416172498,7.503369949447452e-16,0.9873714056380468,7.555559364458991e-16,12.0,0.75
12,9,1,16,0.0,0.06598601965306876,0,1,1,101111111100,3,false,5.0,0.9941608563758503,9.081816563825243e-16,0.991160776584647,9.10610749840689e-16,12.0,0.75
12,9,1,16,0.0,0.06598601965306876,0,1,1,101111111100,3,true,5.0,0.9917443842962224,1.5853611899224745e-15,0.988239894161205,1.5997464606065862e-15,12.0,0.75
12,9,1,1,0.0,0.06598601965306876,0,1,1,101111111100,3,false,5.0,0.9938289497984586,3.9617170391707726e-16,0.9903975390519163,4.3225016153286076e-16,12.0,0.75
12,9,1,1,0.0,0.06598601965306876,0,1,1,101111111100,3,true,5.0,0.9901244991980093,7.099760985087746e-16,0.9846318033278671,7.455285294153651e-16,12.0,0.75
12,9,1,4,0.0,0.06598601965306876,0,1,1,101111111100,3,false,5.0,0.9938540493662559,2.689495437550257e-16,0.9904558893353529,2.4953049075324876e-16,12.0,0.75
12,9,1,4,0.0,0.06598601965306876,0,1,1,101111111100,3,true,5.0,0.9902243526625528,7.464191869336481e-16,0.9848634080938473,7.305683001890986e-16,12.0,0.75
12,9,1,16,0.0,0.07237899934777976,0,1,1,101111111100,3,false,5.0,0.9937543780518904,9.02070379102963e-16,0.989558856095893,8.738621226095415e-16,12.0,0.75
12,9,1,16,0.0,0.07237899934777976,0,1,1,101111111100,3,true,5.0,0.9912899496090776,1.5885892705302575e-15,0.9865994394512251,1.6118076684197334e-15,12.0,0.75
12,9,1,1,0.0,0.07237899934777976,0,1,1,101111111100,3,false,5.0,0.9933551380003521,3.8988524431377555e-16,0.9884646243252379,4.0609672237786405e-16,12.0,0.75
