numsamples,filling,L,N,J,V,W,ts,unconstrained,energy,avrgtimeavrgcorr
20,0.75,12,9,1,4,20.0,0.054844192548908884,false,2.0,0.997872812306552
20,0.75,12,9,1,4,20.0,0.054844192548908884,false,0.0,1.0000000000000002
20,0.75,12,9,1,16,0.0,0.060157709126835844,false,4.0,0.9957043224470241
20,0.75,12,9,1,16,0.0,0.060157709126835844,false,5.0,0.9944515156592648
20,0.75,12,9,1,16,0.0,0.060157709126835844,false,2.0,0.9981182434480463
20,0.75,12,9,1,16,0.0,0.060157709126835844,false,0.0,1.0000000000000002
20,0.75,12,9,1,1,0.0,0.060157709126835844,false,4.0,0.9953261171284571
20,0.75,12,9,1,1,0.0,0.060157709126835844,false,5.0,0.9941613980858738
20,0.75,12,9,1,1,0.0,0.060157709126835844,false,2.0,0.9976577623632897
20,0.75,12,9,1,1,0.0,0.060157709126835844,false,0.0,1.0000000000000002
20,0.75,12,9,1,4,0.0,0.060157709126835844,false,4.0,0.9953518024780119
20,0.75,12,9,1,4,0.0,0.060157709126835844,false,5.0,0.994183276196284
20,0.75,12,9,1,4,0.0,0.060157709126835844,false,2.0,0.9976827708780058
20,0.75,12,9,1,4,0.0,0.060157709126835844,false,0.0,1.0000000000000007
20,0.75,12,9,1,16,1.0,0.060157709126835844,false,4.0,0.9957048502711597
20,0.75,12,9,1,16,1.0,0.060157709126835844,false,5.0,0.9944522290577488
20,0.75,12,9,1,16,1.0,0.060157709126835844,false,2.0,0.9981184121137602
20,0.75,12,9,1,16,1.0,0.060157709126835844,false,0.0,1.0
20,0.75,12,9,1,1,1.0,0.060157709126835844,false,4.0,0.9953267670994393
20,0.75,12,9,1,1,1.0,0.060157709126835844,false,5.0,0.9941622080895447
20,0.75,12,9,1,1,1.0,0.060157709126835844,false,2.0,0.9976580807605363
20,0.75,12,9,1,1,1.0,0.060157709126835844,false,0.0,1.0
20,0.75,12,9,1,4,1.0,0.060157709126835844,false,4.0,0.9953524439935729
20,0.75,12,9,1,4,1.0,0.060157709126835844,false,5.0,0.9941840790815096
20,0.75,12,9,1,4,1.0,0.060157709126835844,false,2.0,0.9976830805996275
20,0.75,12,9,1,4,1.0,0.060157709126835844,false,0.0,1.0000000000000002
20,0.75,12,9,1,16,20.0,0.060157709126835844,false,4.0,0.9959048735523157
20,0.75,12,9,1,16,20.0,0.060157709126835844,false,5.0,0.9947220718568793
20,0.75,12,9,1,16,20.0,0.060157709126835844,false,2.0,0.9981831289994973
20,0.75,12,9,1,16,20.0,0.060157709126835844,false,0.0,1.0000000000000002
20,0.75,12,9,1,1,20.0,0.060157709126835844,false,4.0,0.9955719785415229
20,0.75,12,9,1,1,20.0,0.060157709126835844,false,5.0,0.9944677953665261
20,0.75,12,9,1,1,20.0,0.060157709126835844,false,2.0,0.9977781499642062
20,0.75,12,9,1,1,20.0,0.060157709126835844,false,0.0,1.0000000000000004
20,0.75,12,9,1,4,20.0,0.060157709126835844,false,4.0,0.9955945305610719
20,0.75,12,9,1,4,20.0,0.060157709126835844,false,5.0,0.9944870286223921
20,0.75,12,9,1,4,20.0,0.060157709126835844,false,2.0,0.9977999552200699
20,0.75,12,9,1,4,20.0,0.060157709126835844,false,0.0,1.0000000000000002
20,0.75,12,9,1,16,0.0,0.06598601965306876,false,4.0,0.9954894605363263
20,0.75,12,9,1,16,0.0,0.06598601965306876,false,5.0,0.99416085637585
20,0.75,12,9,1,16,0.0,0.06598601965306876,false,2.0,0.9980469099706253
20,0.75,12,9,1,16,0.0,0.06598601965306876,false,0.0,1.0000000000000002
20,0.75,12,9,1,1,0.0,0.06598601965306876,false,4.0,0.9950597157091182
20,0.75,12,9,1,1,0.0,0.06598601965306876,false,5.0,0.9938289497984585
20,0.75,12,9,1,1,0.0,0.06598601965306876,false,2.0,0.9975237787299547
20,0.75,12,9,1,1,0.0,0.06598601965306876,false,0.0,1.0000000000000002
20,0.75,12,9,1,4,0.0,0.06598601965306876,false,4.0,0.9950891692450337
20,0.75,12,9,1,4,0.0,0.06598601965306876,false,5.0,0.9938540493662562
20,0.75,12,9,1,4,0.0,0.06598601965306876,false,2.0,0.9975524703450439
20,0.75,12,9,1,4,0.0,0.06598601965306876,false,0.0,1.0000000000000007
20,0.75,12,9,1,16,1.0,0.06598601965306876,false,4.0,0.9954900518509023
20,0.75,12,9,1,16,1.0,0.06598601965306876,false,5.0,0.9941616619216718
20,0.75,12,9,1,16,1.0,0.06598601965306876,false,2.0,0.9980470863323105
20,0.75,12,9,1,16,1.0,0.06598601965306876,false,0.0,0.9999999999999997
20,0.75,12,9,1,1,1.0,0.06598601965306876,false,4.0,0.995060461418948
20,0.75,12,9,1,1,1.0,0.06598601965306876,false,5.0,0.9938298789986809
20,0.75,12,9,1,1,1.0,0.06598601965306876,false,2.0,0.9975241441750541
20,0.75,12,9,1,1,1.0,0.06598601965306876,false,0.0,1.0
20,0.75,12,9,1,4,1.0,0.06598601965306876,false,4.0,0.9950899040855138
20,0.75,12,9,1,4,1.0,0.06598601965306876,false,5.0,0.993854969408395
20,0.75,12,9,1,4,1.0,0.06598601965306876,false,2.0,0.9975528246305375
20,0.75,12,9,1,4,1.0,0.06598601965306876,false,0.0,1.0
20,0.75,12,9,1,16,20.0,0.06598601965306876,false,4.0,0.9957130491086884
20,0.75,12,9,1,16,20.0,0.06598601965306876,false,5.0,0.9944646951228144
20,0.75,12,9,1,16,20.0,0.06598601965306876,false,2.0,0.9981148603673445
20,0.75,12,9,1,16,20.0,0.06598601965306876,false,0.0,1.0000000000000002
20,0.75,12,9,1,1,20.0,0.06598601965306876,false,4.0,0.9953399451409309
20,0.75,12,9,1,1,20.0,0.06598601965306876,false,5.0,0.9941781350902941
20,0.75,12,9,1,1,20.0,0.06598601965306876,false,2.0,0.9976610427259516
20,0.75,12,9,1,1,20.0,0.06598601965306876,false,0.0,1.0000000000000002
20,0.75,12,9,1,4,20.0,0.06598601965306876,false,4.0,0.9953654187516696
20,0.75,12,9,1,4,20.0,0.06598601965306876,false,5.0,0.9941998712229948
20,0.75,12,9,1,4,20.0,0.06598601965306876,false,2.0,0.9976856653196059
20,0.75,12,9,1,4,20.0,0.06598601965306876,false,0.0,1.0000000000000004
20,0.75,12,9,1,16,0.0,0.07237899934777976,false,4.0,0.9951913033887809
20,0.75,12,9,1,16,0.0,0.07237899934777976,false,5.0,0.9937543780518904
20,0.75,12,9,1,16,0.0,0.07237899934777976,false,2.0,0.9979548951678319
20,0.75,12,9,1,16,0.0,0.07237899934777976,false,0.0,1.0000000000000002
20,0.75,12,9,1,1,0.0,0.07237899934777976,false,4.0,0.9946799473212526
20,0.75,12,9,1,1,0.0,0.07237899934777976,false,5.0,0.9933551380003524
20,0.75,12,9,1,1,0.0,0.07237899934777976,false,2.0,0.9973326224928657
20,0.75,12,9,1,1,0.0,0.07237899934777976,false,0.0,1.0000000000000002
20,0.75,12,9,1,4,0.0,0.07237899934777976,false,4.0,0.9947155081555424
